id,name,code
hr_profession_51640,Prestador de cuidados a animais,51640
hr_profession_51650,Instrutor de condução,51650
hr_profession_51690,"Outros trabalhadores dos serviços pessoais, n.e.",51690
hr_profession_52110,Vendedor em quiosque e em mercados,52110
hr_profession_52120,Vendedor ambulante de produtos alimentares,52120
hr_profession_52210,Comerciante de loja (estabelecimento),52210
hr_profession_52220,Encarregado de loja (estabelecimento),52220
hr_profession_52230,Vendedor em loja (estabelecimento),52230
hr_profession_52301,Operador de caixa,52301
hr_profession_52302,Bilheteiro,52302
hr_profession_52410,Manequim e outros modelos,52410
hr_profession_52420,Demonstrador,52420
hr_profession_52430,Vendedor ao domicílio,52430
hr_profession_52440,Vendedor de centros de contacto,52440
hr_profession_52450,Assistente de estação de serviço ao condutor,52450
hr_profession_52460,Assistente de venda de alimentos ao balcão,52460
hr_profession_52490,"Outros trabalhadores relacionados com vendas, n.e. ",52490
hr_profession_53110,Auxiliar de cuidados de crianças,53110
hr_profession_53120,Auxiliar de professor,53120
hr_profession_53210,Auxiliar de saúde,53210
hr_profession_53220,Ajudante familiar,53220
hr_profession_53290,Outros trabalhadores dos cuidados pessoais e similares nos serviços de saúde,53290
hr_profession_54110,Bombeiro,54110
hr_profession_54121,Sargentos da Guarda Nacional Republicana,54121
hr_profession_54122,Guardas da Guarda Nacional Republicana,54122
hr_profession_54123,Agente de Polícia de Segurança Pública,54123
hr_profession_54124,Agente de Polícia Marítima,54124
hr_profession_54125,Agente de Polícia Municipal,54125
hr_profession_54126,Outros agentes de polícia,54126
hr_profession_54130,Guarda dos serviços prisionais,54130
hr_profession_54141,Porteiro de hotelaria,54141
hr_profession_54142,"Segurança (vigilante privado), outros porteiros e similares",54142
hr_profession_54190,Outro pessoal dos serviços de protecção e segurança,54190
hr_profession_61110,Agricultor e trabalhador qualificado de cereais e outras culturas extensivas,61110
hr_profession_61120,Agricultor e trabalhador qualificado de culturas de árvores e arbustos,61120
hr_profession_61131,Agricultor e trabalhador qualificado da horticultura,61131
hr_profession_61132,Floricultor,61132
hr_profession_61133,Viveirista,61133
hr_profession_61134,Trabalhador qualificado da jardinagem,61134
hr_profession_61140,Agricultor e trabalhador qualificado de culturas agrícolas mistas,61140
hr_profession_61211,Produtor e trabalhador qualificado na produção de bovinos,61211
hr_profession_61212,Produtor e trabalhador qualificado na produção de ovinos e caprinos,61212
hr_profession_61213,Produtor e trabalhador qualificado na produção de suinos,61213
hr_profession_61214,Produtor e trabalhador qualificado na produção de outros animais de carne,61214
hr_profession_61220,Avicultor e trabalhador qualificado da avicultura,61220
hr_profession_61231,Apicultor e trabalhador qualificado da apicultura,61231
hr_profession_61232,Sericicultor e trabalhador qualificado da sericicultura,61232
hr_profession_61290,Outros produtores e trabalhadores qualificados da criação animal,61290
hr_profession_61300,"Agricultor e trabalhador qualificado da agricultura e produção animal combinadas, orientados para o mercado ",61300
hr_profession_62101,Motosserrista,62101
hr_profession_62102,Sapador florestal,62102
hr_profession_62103,Outros trabalhadores qualificados da floresta e similares,62103
hr_profession_62211,Aquicultor (aquacultor) e trabalhador qualificado de aquicultura de águas interiores,62211
hr_profession_62212,Aquicultor (aquacultor) e trabalhador qualificado de aquicultura de águas marítimas,62212
hr_profession_62221,Pescador de águas interiores,62221
hr_profession_62222,"Mestre, contramestre e arrais, de pesca marítima costeira",62222
hr_profession_62223,"Pescador e marinheiro pescador, de pesca marítima costeira ",62223
hr_profession_62224,Outros trabalhadores qualificados de pesca de águas interiores,62224
hr_profession_62225,Outros trabalhadores qualificados de pesca marítima costeira,62225
hr_profession_62231,"Mestre, contramestre e arrais, de pesca marítima do largo",62231
hr_profession_62232,"Pescador e marinheiro pescador, de pesca marítima do largo",62232
hr_profession_62233,Outros trabalhadores qualificados da pesca marítima do largo,62233
hr_profession_62240,Caçador qualificado (inclui com armadilhas) orientado para o mercado,62240
hr_profession_63100,Agricultor de subsistência,63100
hr_profession_63200,Criador de animais de subsistência,63200
hr_profession_63300,"Agricultor e criador de animais de produção combinada, de subsistência ",63300
hr_profession_63400,"Pescador, caçador e colector, de subsistência",63400
hr_profession_71110,Construtor de casas rudimentares,71110
hr_profession_71121,Pedreiro,71121
hr_profession_71122,Calceteiro,71122
hr_profession_71123,Assentador de refractários,71123
hr_profession_71131,Polidor de pedra,71131
hr_profession_71132,Canteiro,71132
hr_profession_71133,Outros trabalhadores qualificados da pedra e similares,71133
hr_profession_71141,Cimenteiro,71141
hr_profession_71142,Armador de ferro,71142
hr_profession_71143,Montador de alvenarias e de pré-esforçados,71143
hr_profession_71144,Outros trabalhadores qualificados em betão armado e similares,71144
hr_profession_71151,Carpinteiro de limpos e de tosco,71151
hr_profession_71152,Carpinteiro naval,71152
hr_profession_71153,Outros carpinteiros e similares,71153
hr_profession_71191,Montador de andaimes,71191
hr_profession_71192,Espalhador de betuminosos,71192
hr_profession_71193,"Outros trabalhadores qualificados da construção de estruturas básicas e similares, n.e.",71193
hr_profession_71210,Colocador de telhados e de coberturas,71210
hr_profession_71221,Assentador de tacos e afagador de madeira,71221
hr_profession_71222,Ladrilhador,71222
hr_profession_71223,Outros assentadores de revestimentos,71223
hr_profession_71230,Estucador,71230
hr_profession_71240,Trabalhador qualificado em isolamentos acústicos e térmicos,71240
hr_profession_71250,Vidraceiro,71250
hr_profession_71261,Canalizador,71261
hr_profession_71262,Montador de tubagens,71262
hr_profession_71270,Instalador de ar condicionado e de sistemas de refrigeração,71270
hr_profession_71311,Pintor de construções,71311
hr_profession_71312,"Colocador de papel de parede, pintor decorador e similares ",71312
hr_profession_71321,Pintor à pistola de superfícies,71321
hr_profession_71322,Envernizador,71322
hr_profession_71331,Limpador de fachadas,71331
hr_profession_71332,Limpador de chaminés e de outras estruturas de edifícios,71332
hr_profession_72110,Operador de fundição,72110
hr_profession_72121,Soldador,72121
hr_profession_72122,Trabalhador de corte a oxi-gás,72122
hr_profession_72131,Bate-chapa de veículos automóveis,72131
hr_profession_72132,Funileiro e caldeireiro,72132
hr_profession_72141,Serralheiro civil,72141
hr_profession_72142,Outro preparador e montador de estruturas metálicas,72142
hr_profession_72150,Armador e montador de cabos metálicos,72150
hr_profession_72211,Forjador e ferreiro,72211
hr_profession_72212,"Operador de prensa de forjar, estampador e similares ",72212
hr_profession_72220,"Serralheiro de moldes, cunhos, cortantes e similares ",72220
hr_profession_72231,Regulador e operador de máquinas-ferramentas convencionais para trabalhar metais,72231
hr_profession_72232,Regulador e operador de máquinas-ferramentas de comando numérico computorizado para trabalhar metais,72232
